,독립변수,카이제곱 통계량,p-value,df,기댓값 행렬
0,dx,10.36926062701257,0.01567451716260615,3,"[[416.502 440.498]
 [ 31.59   33.41 ]
 [  4.86    5.14 ]
 [ 33.048  34.952]]"
1,location of cancers,0.9100536635479967,0.6344309448121199,2,"[[229.392 242.608]
 [240.57  254.43 ]
 [ 16.038  16.962]]"
2,number of cancers,72.30745589333603,1.8415032691115143e-17,1,"[[421.362 445.638]
 [ 64.638  68.362]]"
3,NG,195.6906072488112,3.599582513270504e-42,3,"[[ 24.786  26.214]
 [ 95.256 100.744]
 [238.14  251.86 ]
 [127.818 135.182]]"
4,HG,150.51282922160254,2.042388890240398e-32,3,"[[ 41.796  44.204]
 [138.024 145.976]
 [213.84  226.16 ]
 [ 92.34   97.66 ]]"
5,HG_score_1,144.20875573879218,4.676094702139353e-31,3,"[[ 44.712  47.288]
 [ 40.824  43.176]
 [100.116 105.884]
 [300.348 317.652]]"
6,HG_score_2,184.10425375080212,1.1457272901353413e-39,3,"[[ 44.712  47.288]
 [ 67.554  71.446]
 [242.514 256.486]
 [131.22  138.78 ]]"
7,HG_score_3,81.4995026317108,8.380342290789236e-17,4,"[[ 43.254  45.746]
 [310.554 328.446]
 [ 76.302  80.698]
 [ 54.432  57.568]
 [  1.458   1.542]]"
8,DCIS_or_LCIS,185.07781306741373,6.469392951849185e-41,2,"[[291.114 307.886]
 [ 40.338  42.662]
 [154.548 163.452]]"
9,DCIS_or_LCIS_type,44.6881064136434,1.9774294093728024e-10,2,"[[424.764 449.236]
 [ 33.534  35.466]
 [ 27.702  29.298]]"
10,T_category,116.82956158940081,2.5390867458483104e-24,4,"[[ 36.45   38.55 ]
 [291.6   308.4  ]
 [148.23  156.77 ]
 [  7.776   8.224]
 [  1.944   2.056]]"
11,ER,0.02887215580198943,0.8650745577254232,1,"[[ 87.966  93.034]
 [398.034 420.966]]"
12,PR,2.7294362072770073,0.09851405610475221,1,"[[174.474 184.526]
 [311.526 329.474]]"
13,HER2,8.181040008747026,0.004233048402573375,1,"[[367.416 388.584]
 [118.584 125.416]]"
14,HER2_IHC,6.104756022648455,0.1066233695736642,3,"[[133.65  141.35 ]
 [152.604 161.396]
 [157.464 166.536]
 [ 42.282  44.718]]"
15,HER2_SISH,9.451715930413412,0.002109516555470625,1,"[[470.448 497.552]
 [ 15.552  16.448]]"
16,BRCA_mutation,0.8954168662608997,0.34401359764484074,1,"[[484.056 511.944]
 [  1.944   2.056]]"
